NAME,APPROVDATE
PARKLAND,1946-01-01
LOCKWOOD,1955-01-01
TWO COURTS,1979-01-01
SUSSEX PLACE,1985-01-01
SUMMERFIELD NORTH,1977-01-01
CAPITOL HEIGHTS,1945-01-01
LONG LAKE,2004-01-01
THE ACORNS TOWNHOMES,1983-01-01
GADLAND COURT TOWNHOMES,1989-01-01
NORTH TRAIL,1971-01-01
SAMI & RAYHANA ASSEFI,1994-01-01
HOLLAND PARK,1979-01-01
HIGHLAND FOREST,1957-01-01
CLARENCE F JOHNSON,1964-01-01
COLEY LAKES,1965-01-01
MAGNOLIA COURT,1985-01-01
MEREDITH TRAIL,1986-01-01
OLD WELL AT SUMMERFIELD,1993-01-01
SIX FORKS HILLS,1972-01-01
UMSTEAD CROSSING,1994-01-01
CITY OF RALEIGH,1989-01-01
WILBURN POINTE,1996-01-01
DODD LAND,
TOWER STREET,
CHERRY RIDGE,2011-02-08
TUPPER II,2007-01-03
BLUEBERRY DRIVE,
THE GROVE AT FALLON PARK,2013-06-17
ROBERT W & AMY J ATTAWAY,2007-12-18
CAMBRIDGE ROAD,
WHITE & JERNIGAN,2006-01-01
BETHEL PARK,2007-10-16
FAIRFAX HILLS PARK,2013-01-29
KENT ROAD,2010-04-20
EGERTON,2008-06-16
VALENTINE PROPERTIES,2004-01-01
ESSEX AT GLEN EDEN TOWNHOMES,2013-10-21
DAIRYLAND,2013-01-01
PLEASANT POINTE,2013-05-28
HAMDEN HALL,2009-02-27
OAKWOOD NORTH,2013-02-22
GABRIELS BEND,
PURRINGTON PH1,2013-06-06
PURRINGTON PH2,2013-09-30
JACOBS RESERVE,2013-04-29
CHAMBER COURT,2013-03-26
WIMBLEDON,
WESTLAKE AT COUNTRY TRAIL,2013-07-26
RAMBLEWOOD,1967-01-01
ATHENA WOODS,1981-01-01
BRYN MAWR,1969-01-01
NORTH RIDGE VILLAS,1985-01-01
CRESTWOOD,2001-01-01
TERRACE PARK,1989-01-01
WESTLAKE VILLAGE II,1989-01-01
SAGEWOOD,1979-01-01
EBENEZER CHURCH RD TOWNHOMES,2007-01-01
OLDE RALEIGH TOWNHOMES,1999-01-01
GEORGETOWN,1911-01-01
T W CAMPBELL,1972-01-01
MINE VALLEY,1984-01-01
PULLEN PARK TERRACE,1950-01-01
WILLOW RUN SOUTH,1984-01-01
DEBRA FOREST,1981-01-01
OAKWOOD MEWS,2009-01-01
UMSTEAD VILLAGE,1996-01-01
STONE QUARTER AT GREYSTONE,1981-01-01
SOUTHERN WINDS TOWNHOMES,1985-01-01
GLENWOOD CROSSING TOWNHOMES,2006-01-01
SANDY LAND VILLAGE,1959-01-01
WAYLAND HEIGHTS,1945-01-01
EDWARDS MILL ROAD,2007-01-01
AMMONDALE,1975-01-01
SUNSET TERRACE,1940-01-01
ASHLEY PARK,1965-01-01
FAIRWAY NORTH,1981-01-01
COUNTRY WOODS ESTATES,1988-01-01
QUAIL HOLLOW,1970-01-01
QUAIL POINTE,1994-01-01
COURTNEY PLACE,1992-01-01
MEADOW HILL PLACE,1985-01-01
HAMPTON OAKS,1979-01-01
