,SubDivName,medianPrSqFt_2000,medianHage_2000,medianHPrice_2000,medianPrSqFt_2005,medianHage_2005,medianHPrice_2005,medianPrSqFt_2010,medianHage_2010,medianHPrice_2010,medianPrSqFt_2015,medianHage_2015,medianHPrice_2015,medianPrSqFt_2020,medianHage_2020,medianHPrice_2020,subDivAge_2000,subDivAge_2005,subDivAge_2010,subDivAge_2015,subDivAge_2020
0,70303 LEAD MINE,void,void,28000.0,void,void,28000.0,void,void,void,void,void,void,void,void,void,void,void,void,void,void
1,A W KELLY HEIRS,61.0,100.0,40000.0,75.0,6.0,205446.0,123.19149999999999,71.0,308668.0,130.0,16.0,345858.0,159.0,21.0,424859.0,1.0,6.0,11.0,16.0,21.0
2,ADELAID CRENSHAW,62.0,80.0,73322.0,62.0,85.0,70161.0,92.7465,90.0,106676.0,89.0,95.0,105493.0,125.0,100.0,157234.0,80.0,85.0,90.0,95.0,100.0
3,ALEXANDRIA SQUARE,void,void,35000.0,86.0,4.0,187357.5,101.4785,9.0,225188.0,101.0,14.0,216383.0,126.0,19.0,272332.0,void,4.0,9.0,14.0,19.0
4,AMMONDALE,102.0,21.5,303601.0,102.0,26.0,293667.0,132.7885,31.0,439357.0,139.0,36.0,424277.0,161.0,41.0,486557.0,25.0,30.0,35.0,40.0,45.0
5,ANDERSON FOREST,123.0,9.0,329908.0,void,13.0,342959.0,176.955,18.0,507453.0,183.0,23.0,532445.0,209.0,28.0,618663.5,13.0,18.0,23.0,28.0,33.0
6,ANDERSON HEIGHTS,150.0,51.0,264664.0,144.0,55.0,293312.0,219.31599999999997,60.0,537006.0,219.0,63.0,595151.0,256.5,70.0,691162.0,51.0,56.0,61.0,66.0,71.0
7,ANDREW J REMALEY,119.0,40.0,141569.0,87.0,24.5,217314.0,139.54149999999998,29.5,335110.0,138.0,14.0,346749.0,169.0,19.0,423254.0,void,void,4.0,9.0,14.0
8,ANDREWS,107.0,42.0,188346.5,107.0,47.0,188346.5,176.66949999999997,51.0,387737.0,198.0,56.5,418255.0,216.0,61.5,502107.0,50.0,55.0,60.0,65.0,70.0
9,ANTHONY PROPERTY,96.0,13.0,133995.0,96.0,18.0,133995.0,145.898,23.0,198130.0,140.0,28.0,192393.0,186.0,33.0,251973.0,14.0,19.0,24.0,29.0,34.0
10,APPOLLO HEIGHTS,68.0,31.0,69639.0,68.0,36.0,70188.0,87.03399999999999,41.0,91337.0,61.0,46.0,68503.0,122.0,51.0,136165.0,30.0,35.0,40.0,45.0,50.0
11,ARDEN FOREST,119.0,5.0,375063.0,115.5,9.5,370150.0,156.7325,14.0,508336.0,158.5,18.5,500917.5,182.0,23.5,607756.0,5.0,10.0,15.0,20.0,25.0
12,ARLINGTON HILLS,96.0,7.0,164447.0,95.0,12.0,164503.0,124.30449999999999,17.0,216538.0,150.0,22.0,260299.0,186.0,27.0,334004.0,6.0,11.0,16.0,21.0,26.0
13,ARLINGTON PLACE,void,70.0,146250.0,130.5,3.0,482182.0,192.84,7.0,711837.0,198.0,12.0,717736.5,200.0,17.0,741198.5,0.0,5.0,10.0,15.0,20.0
14,ARTHUR HUNTER,59.0,27.5,64247.0,59.0,32.5,64247.0,84.0005,37.5,96514.5,85.0,42.5,92799.0,119.0,47.5,130165.5,41.0,46.0,51.0,56.0,61.0
15,ASBURY PARK,78.0,31.5,144058.0,75.0,25.0,170610.0,90.15950000000001,30.0,175106.0,94.0,35.0,185550.0,117.0,40.0,235549.0,21.0,26.0,31.0,36.0,41.0
16,ASHEBROOK,101.0,20.0,124090.0,101.0,25.0,124090.0,133.0475,30.0,164808.5,130.5,35.0,161440.0,196.0,40.0,239212.5,22.0,27.0,32.0,37.0,42.0
17,ASHLAND PLACE,131.0,18.0,159358.0,131.0,23.0,159358.0,184.3865,28.0,233086.0,196.0,33.0,262280.0,231.0,38.0,310769.0,18.0,23.0,28.0,33.0,38.0
18,ASHLEIGH PLACE TOWNHOMES,81.0,15.0,113588.0,81.0,20.0,113588.0,107.726,25.0,156559.0,104.0,30.0,166900.0,127.0,35.0,208403.0,15.0,20.0,25.0,30.0,35.0
19,ASHLEY PARK,75.5,34.0,161384.5,75.0,39.0,161651.5,107.98949999999999,44.0,233336.0,124.0,49.0,268835.0,174.0,54.0,391285.0,35.0,40.0,45.0,50.0,55.0
20,ASHLEY RIDGE,94.5,5.0,204667.5,94.0,9.5,206992.5,149.951,14.5,325500.0,153.5,19.5,336068.0,173.5,24.5,380566.0,6.0,11.0,16.0,21.0,26.0
21,ASHTON HALL,124.0,41.0,89580.0,91.0,2.0,157614.0,110.18,7.0,235905.0,95.0,12.0,205968.0,124.0,17.0,265656.0,0.0,5.0,10.0,15.0,20.0
22,ASHWORTH TOWNES,74.5,15.0,92857.0,74.5,20.0,92857.0,103.902,25.0,129928.5,104.0,30.0,131298.0,125.5,35.0,159581.0,15.0,20.0,25.0,30.0,35.0
23,ATHENA WOODS,69.0,18.0,167091.0,69.0,23.0,167091.0,75.393,28.0,186370.0,68.0,33.0,168794.0,106.0,38.0,256684.0,19.0,24.0,29.0,34.0,39.0
24,ATHENS DRIVE TOWNHOMES,67.0,14.0,88100.0,67.0,19.0,88100.0,79.3175,24.0,106969.0,83.0,29.0,106508.0,116.0,34.0,148402.0,14.0,19.0,24.0,29.0,34.0
25,ATHENS GROVE,157.0,40.0,86850.0,81.0,45.0,86850.0,121.49700000000001,28.5,216502.0,117.0,4.0,278516.0,164.0,9.0,387315.0,void,void,2.0,7.0,12.0
26,ATHENS WOODS,78.0,74.0,127882.5,112.0,1.0,270634.5,136.81,6.0,330079.0,131.0,11.0,322445.0,158.0,16.0,388067.0,void,4.0,9.0,14.0,19.0
27,ATKINS,71.0,32.5,115438.5,70.0,37.5,114118.5,86.3145,42.5,143323.5,96.5,47.5,146463.5,141.0,48.0,251656.0,41.0,46.0,51.0,56.0,61.0
28,AUTUMN WOODS TOWNHOMES,143.0,65.0,145835.0,143.0,70.0,145835.0,135.356,2.0,200195.0,122.0,7.0,177399.0,160.0,12.0,236749.0,void,void,3.0,8.0,13.0
29,BAGWELL,111.5,61.5,148674.0,109.5,66.5,151719.0,189.739,72.0,258187.0,196.0,77.0,278513.0,260.0,83.5,402627.0,80.0,85.0,90.0,95.0,100.0
